scenario,sharpe_valid,method,far_target,arm,cutoff_H,threshold_calibrated_over,threshold,working_prob_threshold,detect,detect_lo,detect_hi,far,far_lo,far_hi,expected_min_tau_H,expected_min_tau_H_se,undetected_at_H,median_first_alarm,median_note,truncation_cap_days,n_test_valid,n_test_invalid
gaussian_ctrl,0.6,ewma_student_t,0.05,A,252,504,-1.8326476605407196,0.8620768365286364,0.0294,0.026265548213677284,0.032895871052803526,0.006,0.0046645228934497195,0.007714867496778757,250.6415,0.09843193922536508,0.9706,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,A,252,504,-1.8327151922932234,0.8620848658822867,0.0294,0.026265548213677284,0.032895871052803526,0.006,0.0046645228934497195,0.007714867496778757,250.6426,0.09841623392261029,0.9706,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.05,A,504,504,-1.4391358210681409,0.808320792707858,0.1735,0.16620377042823345,0.18104698050781834,0.038,0.0344265516422164,0.04192826285228877,477.2455,0.7124345859648645,0.8265,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.05,A,504,504,-1.7169668171711805,0.8477377305618142,0.1704,0.16315774620510184,0.17789538552084813,0.0408,0.03709573835131741,0.04485692575231197,477.4259,0.7082553307108589,0.8296,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.05,A,504,504,-1.8326476605407196,0.8620768365286364,0.1606,0.15353429543290806,0.1679263626611072,0.038,0.0344265516422164,0.04192826285228877,479.7708,0.6765911352452302,0.8394,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,A,504,504,-1.8327151922932234,0.8620848658822867,0.1606,0.15353429543290806,0.1679263626611072,0.038,0.0344265516422164,0.04192826285228877,479.7797,0.6763117450914591,0.8394,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.05,B,63,63,-0.5458400712355528,0.6331699182946938,0.0777,0.07261386178136241,0.08311046324251105,0.0432,0.03938757077465523,0.0473632501367949,61.6724,0.05597178850198385,0.9223,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.05,B,63,63,-0.6699123731234733,0.6614835378016685,0.0748,0.06980563604901403,0.08012091616540935,0.0374,0.033855276482213766,0.04129999881033621,61.8166,0.05149273341122431,0.9252,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.05,B,63,63,-0.6993481800729411,0.6680432394595333,0.0734,0.06845074211579141,0.07867688529406988,0.0389,0.03528393401149463,0.042870189285943314,61.8644,0.049719296705066994,0.9266,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,B,63,63,-0.6993481800729411,0.6680432394595333,0.0734,0.06845074211579141,0.07867688529406988,0.0389,0.03528393401149463,0.042870189285943314,61.8643,0.04971916884437086,0.9266,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.05,B,126,126,-0.7683038063932702,0.6831538588317793,0.0974,0.09174233128564133,0.10336686420242747,0.0406,0.036904912192822444,0.04464790551015519,122.6503,0.12633335665096637,0.9026,,not reached within 126d,126,10000,10000
