scenario,scale,statistic,sim_median,sim_p2.5,sim_p97.5,sim_median_mc_se,n_paths,real,real_inside_sim_range
gaussian,matched,agg5d_sd,0.02701392199673875,0.02468042848647235,0.02936515818937832,3.406575474731966e-05,2000,0.020960471928423846,False
gaussian,matched,agg5d_skewness,0.06524064819806483,-0.23230178617670666,0.38436315422077044,0.004322004771834625,2000,-1.0487041835443138,False
gaussian,matched,agg5d_excess_kurtosis,-0.0516552088313611,-0.5089590207384168,0.7173494751372546,0.00860754690683896,2000,5.931460248671447,False
gaussian,matched,agg5d_n_blocks,251.0,251.0,251.0,0.0,2000,251.0,True
gaussian,matched,agg21d_sd,0.05496286181889544,0.04534612122125723,0.06560478255620869,0.00014433210336722838,2000,0.04209813495638222,False
gaussian,matched,agg21d_skewness,0.1299776587317878,-0.44530263621832294,0.7933321785154481,0.008841713134472766,2000,-0.59184386699657,False
gaussian,matched,agg21d_excess_kurtosis,-0.16719954933508818,-0.8844700344926674,1.4951333637413455,0.017937026763395852,2000,1.5622695674048126,False
gaussian,matched,agg21d_n_blocks,59.0,59.0,59.0,0.0,2000,59.0,True
gaussian,matched,w1_vs_market_standardised,0.3016430283269143,0.28283466112420236,0.3202961811626336,0.00026116766976504803,2000,,
gaussian,matched,w1_sim_vs_sim_reference,0.0316162251850743,0.020354152746412533,0.05225524544936571,0.00032748739915561693,1000,,
student_t,native,sd_daily,0.006276382859456368,0.005879315172946052,0.0068037226622373265,6.636548321134979e-06,2000,0.012118087297484344,False
student_t,native,skewness,-0.0018051608768803375,-0.7936970963379468,0.8934179878576681,0.014616368657812578,2000,-0.7389961323250143,True
student_t,native,excess_kurtosis,3.044499997715791,1.3216577954265374,15.142618787815799,0.19083770794630622,2000,20.367350270538573,False
student_t,native,rv21_q10,0.07109753001925495,0.06625543493825152,0.0763586591981308,7.314887648465249e-05,2000,0.06272305159358481,False
student_t,native,rv21_q50,0.0938522312447239,0.08821769338228734,0.09969100147886628,8.301452368037564e-05,2000,0.11036933306935255,False
student_t,native,rv21_q90,0.12586420890870031,0.11503415531612413,0.13940842366641404,0.00017613291683614022,2000,0.24178335481744329,False
student_t,native,concentration_max_exceed_63d,3.0,2.0,5.0,0.021912628677417327,2000,16.0,False
student_t,native,tail_below_m2_count,31.0,22.975,40.0,0.12752303411177626,2000,37.0,True
student_t,native,tail_above_p2_count,31.0,22.0,39.0,0.12683106503123262,2000,18.0,False
student_t,native,tail_below_m2_freq,0.0246422893481717,0.018263116057233707,0.03179650238473768,0.00010136966145610198,2000,0.029411764705882353,True
student_t,native,tail_above_p2_freq,0.0246422893481717,0.017488076311605722,0.031001589825119236,0.0001008196065431102,2000,0.014308426073131956,False
student_t,native,tail_below_m3_count,7.0,3.0,12.0,0.06479634149368954,2000,11.0,True
student_t,native,tail_above_p3_count,7.0,3.0,12.0,0.06516224159669404,2000,9.0,True
student_t,native,tail_below_m3_freq,0.005564387917329093,0.0023847376788553257,0.009538950715421303,5.150742567065941e-05,2000,0.008744038155802861,True
student_t,native,tail_above_p3_freq,0.005564387917329093,0.0023847376788553257,0.009538950715421303,5.179828425810337e-05,2000,0.007154213036565978,True
student_t,native,tail_below_m5_count,1.0,0.0,3.0,0.023786154749616033,2000,3.0,True
student_t,native,tail_above_p5_count,1.0,0.0,3.0,0.023995418800640444,2000,4.0,False
student_t,native,tail_below_m5_freq,0.000794912559618442,0.0,0.0023847376788553257,1.8907913155497642e-05,2000,0.0023847376788553257,True
student_t,native,tail_above_p5_freq,0.000794912559618442,0.0,0.0023847376788553257,1.9074259777933588e-05,2000,0.003179650238473768,False
student_t,native,acf_ret_lag1,-0.0019139575434222902,-0.05647271746779099,0.05272748107167114,0.0007759955333473124,2000,-0.24396953335811908,False
student_t,native,acf_ret_lag5,-0.00016741866027234034,-0.05734690811217252,0.05591395652918011,0.0007872686620316559,2000,0.07865234975544919,False
student_t,native,acf_ret_lag10,-0.0013478387104575533,-0.05903980055742186,0.05281426943685792,0.0007978195456226776,2000,-0.07868045072246492,False
student_t,native,acf_ret_lag21,-0.0017264325687873015,-0.0562662163499491,0.05553826444346884,0.0007999805402902624,2000,0.06479069799423903,False
student_t,native,acf_ret_lag63,-0.0012454725661495431,-0.059858618745010646,0.053333183535455526,0.0008053854743007157,2000,0.06187167625917269,False
student_t,native,acf_absret_lag1,-0.0007140377892664166,-0.05377543704030076,0.06145535463156311,0.0008083063316897928,2000,0.5007227427362637,False
student_t,native,acf_absret_lag5,-0.0020456859983421357,-0.05488964099626992,0.05615538222139729,0.0007878538445169967,2000,0.4146461452146091,False
student_t,native,acf_absret_lag10,-0.0018330613603937574,-0.0526529218795564,0.0553160892308141,0.000779695100777999,2000,0.3659590462564185,False
