object,model,period,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range,n_days,sigma_annual,comparison
nasdaq100,gaussian,describe,tail_below_m5_freq,0.001589825119236884,0.0,0.0,0.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_above_p2_freq,0.018282988871224166,0.022257551669316374,0.01589825119236884,0.029411764705882353,True,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_above_p3_freq,0.00794912559618442,0.001589825119236884,0.0,0.003179650238473768,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_above_p5_freq,0.0023847376788553257,0.0,0.0,0.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,acf_absret_lag1,0.39796873772958324,-0.0010566294056575296,-0.054914355604509905,0.053593816560505034,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,acf_absret_lag5,0.33169546758607027,-0.0006811293430209599,-0.054931004594496215,0.052683110000731004,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,acf_absret_lag10,0.2927109149219687,-0.001999396466124562,-0.05692952646250806,0.05505235517176584,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,acf_absret_lag21,0.11746393280034197,-0.0016259487931292297,-0.055491674264913984,0.05385659625887636,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,acf_absret_lag63,-0.012907946465166157,-0.0014691472450197591,-0.05612850971077769,0.056270925811620576,True,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,concentration_max_exceed_63d,13.0,1.0,0.0,2.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,leadlag_ret_vs_future_sq_lag1,-0.07043936406558875,0.00011902664207603204,-0.05329513584427994,0.05529000261663905,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,leadlag_ret_vs_future_sq_lag5,-0.05167860045719631,0.0014144321562720667,-0.05490343023875529,0.05531981769888659,True,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,leadlag_ret_vs_future_sq_lag21,-0.025758141945788463,-0.0007529455352109169,-0.05497029503896588,0.055649732341788195,True,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,sd_daily,0.01424702327788501,0.014247772334392526,0.013694008244663844,0.014818013256331133,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,rv21_q10,0.0908520696517382,0.09558741837572345,0.06678214055311983,0.13286762688786852,True,1258,0.22616448309739204,level (both sides at the frozen sigma_annual)
nasdaq100,stoch_vol,describe,rv21_q50,0.15585600633239455,0.1771487760651526,0.1327923050337469,0.23270862651593344,True,1258,0.22616448309739204,level (both sides at the frozen sigma_annual)
nasdaq100,stoch_vol,describe,rv21_q90,0.31210529282050437,0.32483593097258723,0.23521587509228506,0.4594781949515,True,1258,0.22616448309739204,level (both sides at the frozen sigma_annual)
nasdaq100,stoch_vol,describe,rv21_q10_over_own_sd,0.40170794462283027,0.44065044985715274,0.3088078443926305,0.5597523223675734,True,1258,0.22616448309739204,"shape (each series divided by its own annualised sd, inside the path)"
nasdaq100,stoch_vol,describe,rv21_q50_over_own_sd,0.6891267992122312,0.812679761519028,0.6461532296938753,0.9220920458134413,True,1258,0.22616448309739204,"shape (each series divided by its own annualised sd, inside the path)"
nasdaq100,stoch_vol,describe,rv21_q90_over_own_sd,1.3799925105221056,1.4830473653264462,1.3245923305507836,1.6856495621442167,True,1258,0.22616448309739204,"shape (each series divided by its own annualised sd, inside the path)"
nasdaq100,stoch_vol,describe,w1_vs_market_standardised,,0.11793451622432591,0.06824938618384538,0.16752325656953532,,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,w1_sim_vs_sim_reference,,0.05356923898800714,0.029427469607220074,0.1396013709918241,,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_below_m2_count,42.0,35.0,26.0,44.0,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_below_m3_count,12.0,9.0,4.0,15.0,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_below_m5_count,2.0,0.0,0.0,3.0,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_above_p2_count,23.0,35.0,26.0,44.0,False,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_above_p3_count,10.0,9.0,4.0,15.0,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_above_p5_count,3.0,1.0,0.0,3.0,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_below_m2_freq,0.033386327503974564,0.02782193958664547,0.02066772655007949,0.034976152623211444,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_below_m3_freq,0.009538950715421303,0.007154213036565978,0.003179650238473768,0.01192368839427663,True,1258,0.22616448309739204,scale-free
nasdaq100,stoch_vol,describe,tail_below_m5_freq,0.001589825119236884,0.0,0.0,0.0023847376788553257,True,1258,0.22616448309739204,scale-free
